,video,pattern,qp,rate,psnr,spsnr_nn,wspsnr,spsnr_i,cpp_psnr
0,nyc_drive,1x1,16,78101400.26666667,50.445,50.422,50.413,23.158,
1,nyc_drive,1x1,19,54686832.53333333,48.987,48.949,48.939,23.162,
2,nyc_drive,1x1,22,37297810.53333333,47.398,47.343,47.332,23.171,
3,nyc_drive,1x1,25,24752686.933333334,45.799,45.728,45.716,23.182,
4,nyc_drive,1x1,28,16378967.466666667,44.231,44.144,44.131,23.193,
5,nyc_drive,3x2,16,78708228.4,50.446,50.423,50.414,23.158,
6,nyc_drive,3x2,19,55308551.6,48.988,48.949,48.938,23.162,
7,nyc_drive,3x2,22,37790156.266666666,47.4,47.347,47.336,23.172,
8,nyc_drive,3x2,25,25146248.266666666,45.795,45.726,45.714,23.181,
9,nyc_drive,3x2,28,16697387.2,44.226,44.144,44.131,23.193,
10,nyc_drive,6x4,16,80747504.4,50.434,50.404,50.394,23.159,
11,nyc_drive,6x4,19,57198455.86666667,48.965,48.917,48.905,23.163,
12,nyc_drive,6x4,22,39465768.93333333,47.366,47.299,47.286,23.174,
13,nyc_drive,6x4,25,26561953.466666665,45.752,45.666,45.652,23.184,
14,nyc_drive,6x4,28,17871331.6,44.176,44.07,44.055,23.196,
15,nyc_drive,9x6,16,83327442.8,50.428,50.399,50.389,23.159,
16,nyc_drive,9x6,19,59526792.666666664,48.952,48.905,48.895,23.163,
17,nyc_drive,9x6,22,41492481.333333336,47.34,47.275,47.264,23.174,
18,nyc_drive,9x6,25,28254358.133333333,45.721,45.636,45.625,23.184,
19,nyc_drive,9x6,28,19241589.466666665,44.14,44.036,44.024,23.196,
20,nyc_drive,12x8,16,85041235.46666667,50.42,50.39,50.38,23.16,
21,nyc_drive,12x8,19,61090037.2,48.935,48.888,48.876,23.164,
22,nyc_drive,12x8,22,42893097.733333334,47.309,47.244,47.232,23.176,
23,nyc_drive,12x8,25,29462764.533333335,45.681,45.596,45.583,23.186,
24,nyc_drive,12x8,28,20270442.933333334,44.092,43.989,43.975,23.199,
25,sunset,1x1,16,10789746.133333333,50.375,50.339,50.337,20.779,
26,sunset,1x1,19,6356385.333333333,49.332,49.291,49.289,20.78,
27,sunset,1x1,22,3717036.1333333333,48.221,48.172,48.17,20.781,
28,sunset,1x1,25,2285332.6666666665,47.025,46.968,46.965,20.781,
29,sunset,1x1,28,1354078.0,45.894,45.828,45.825,20.783,
30,sunset,3x2,16,10820333.733333332,50.374,50.338,50.336,20.779,
31,sunset,3x2,19,6387873.6,49.326,49.286,49.283,20.78,
32,sunset,3x2,22,3739510.2666666666,48.221,48.171,48.169,20.781,
33,sunset,3x2,25,2290780.8,47.022,46.966,46.963,20.78,
34,sunset,3x2,28,1365572.6666666667,45.89,45.824,45.821,20.782,
35,sunset,6x4,16,10947482.933333334,50.373,50.337,50.334,20.779,
36,sunset,6x4,19,6502442.666666667,49.325,49.284,49.282,20.78,
37,sunset,6x4,22,3840529.066666667,48.219,48.171,48.168,20.78,
38,sunset,6x4,25,2346929.066666667,47.015,46.958,46.955,20.78,
39,sunset,6x4,28,1443171.4666666666,45.876,45.807,45.803,20.782,
40,sunset,9x6,16,11076849.2,50.374,50.337,50.335,20.779,
41,sunset,9x6,19,6620230.266666667,49.324,49.283,49.281,20.78,
42,sunset,9x6,22,3939887.466666667,48.213,48.164,48.163,20.78,
43,sunset,9x6,25,2434906.933333333,47.007,46.949,46.948,20.78,
44,sunset,9x6,28,1556771.8666666667,45.867,45.798,45.796,20.782,
45,sunset,12x8,16,11287065.733333332,50.374,50.337,50.335,20.779,
46,sunset,12x8,19,6807865.733333333,49.319,49.279,49.276,20.78,
47,sunset,12x8,22,4086334.933333333,48.197,48.15,48.148,20.78,
48,sunset,12x8,25,2573381.7333333334,46.995,46.94,46.937,20.78,
49,sunset,12x8,28,1707166.0,45.852,45.784,45.781,20.782,
